["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9374087598250000e+014 6.4178532395790767e-004 2.9140252664696959e+001
1.9386578950666666e+014 6.2140814344755553e-004 2.9468547433504561e+001
1.9399070303083331e+014 6.1165673788831439e-004 2.9786139371345921e+001
1.9411561655500000e+014 6.1393841268690241e-004 3.0100764879056417e+001
1.9424053007916666e+014 6.2795770275296601e-004 3.0420906982891854e+001
1.9436544360333331e+014 6.5182363088326636e-004 3.0753488347775189e+001
1.9449035712750000e+014 6.8260160968898519e-004 3.1102522329655194e+001
1.9461527065166666e+014 7.1698266544163660e-004 3.1469203709850891e+001
1.9474018417583331e+014 7.5179364887760101e-004 3.1852827985585069e+001
1.9486509770000000e+014 7.8427249902426346e-004 3.2251771330844100e+001
1.9499001122416666e+014 8.1216637459182752e-004 3.2664164965542909e+001
1.9511492474833331e+014 8.3371398328850946e-004 3.3088288654303156e+001
1.9523983827250000e+014 8.4761521003926042e-004 3.3522711667503259e+001
1.9536475179666666e+014 8.5296871907003654e-004 3.3966354331272136e+001
1.9548966532083331e+014 8.4922179769566445e-004 3.4418504712614101e+001
1.9561457884500000e+014 8.3613448297405505e-004 3.4878834887988766e+001
1.9573949236916666e+014 8.1376238554494503e-004 3.5347439562019630e+001
1.9586440589333331e+014 7.8246160996728710e-004 3.5824913426338689e+001
1.9598931941750000e+014 7.4292000067708534e-004 3.6312483116221337e+001
1.9611423294166666e+014 6.9622179218621866e-004 3.6812210611592853e+001
1.9623914646583331e+014 6.4396013162337144e-004 3.7327286658197018e+001
1.9636405999000000e+014 5.8840969489682305e-004 3.7862333514343689e+001
1.9648897351416666e+014 5.3277728931680544e-004 3.8423609971914964e+001
1.9661388703833331e+014 4.8151059783709904e-004 3.9018385171142661e+001
1.9673880056250000e+014 4.4044276630157215e-004 3.9652036357703025e+001
1.9686371408666666e+014 4.1615954364574619e-004 4.0321429940869777e+001
1.9698862761083331e+014 4.1384906217951565e-004 4.1008228175140552e+001
1.9711354113500000e+014 4.3446519463263258e-004 4.1683518385372054e+001
1.9723845465916666e+014 4.7411469152322712e-004 4.2324461206983521e+001
